seed,family,tau,n,q,model,target,ISE,IAE,KL,p_hat,p_true,AE,RE
0,clayton,0.9,5000,0.01414213562373095,Tail,r,160226.75566153694,8.73673119660729,11.493672550990961,,,,
0,clayton,0.9,5000,0.01414213562373095,Tail,h,159123.70121409092,8.728653627487194,11.309573244587126,,,,
0,clayton,0.9,5000,0.01414213562373095,Tail,c,160226.75124245047,0.12355603408280087,0.16304876445137886,,,,
0,clayton,0.9,5000,0.01414213562373095,Ordinary,p,,,,0.016913945256187727,0.01360790000174377,0.0033060452544439577,0.24295043717401718
0,clayton,0.9,5000,0.01414213562373095,Tail,p,,,,0.0132,0.01360790000174377,0.0004079000017437693,0.029975235098104732
0,gumbel,0.3,100,0.1,Ordinary,r,1.0582548895416475,0.26221569412236123,-0.07934141521394213,,,,
0,gumbel,0.3,100,0.1,Ordinary,h,3.6214221000026257,0.6263664084628324,0.4318435416952249,,,,
0,gumbel,0.3,100,0.1,Ordinary,c,1.0582548386813329,0.02622156815201302,-0.007934141140074989,,,,
0,gumbel,0.3,100,0.1,Tail,r,192214.86900685064,10.106264892028772,0.003524591323741787,,,,
0,gumbel,0.3,100,0.1,Tail,h,1200950.3669351463,25.45455534006506,0.570132097418847,,,,
0,gumbel,0.3,100,0.1,Tail,c,192214.8597688979,1.01062644063161,0.0003524591154347987,,,,
0,gumbel,0.3,100,0.1,Ordinary,p,,,,0.04875864503137955,0.023740792231345564,0.025017852800033984,1.053791826163336
0,gumbel,0.3,100,0.1,Tail,p,,,,0.04,0.023740792231345564,0.016259207768654436,0.6848637404436317
0,gumbel,0.3,500,0.044721359549995794,Ordinary,r,0.035374700243582115,0.10258204296127785,0.04308727240864092,,,,
0,gumbel,0.3,500,0.044721359549995794,Ordinary,h,0.8127579747332304,0.43417233161477425,0.7464095353720694,,,,
0,gumbel,0.3,500,0.044721359549995794,Ordinary,c,0.03537470289037172,0.004587608769896357,0.0019269215455906736,,,,
0,gumbel,0.3,500,0.044721359549995794,Tail,r,48.26845420906889,1.085054388035711,0.44736926319741993,,,,
0,gumbel,0.3,500,0.044721359549995794,Tail,h,962.5960431234956,4.968296717319505,3.687280837239273,,,,
0,gumbel,0.3,500,0.044721359549995794,Tail,c,48.26845782058904,0.04852511104936904,0.021317919396376304,,,,
0,gumbel,0.3,500,0.044721359549995794,Ordinary,p,,,,0.009745618690971214,0.006423254743467994,0.003322363947503219,0.5172399476887996
0,gumbel,0.3,500,0.044721359549995794,Tail,p,,,,0.01,0.006423254743467994,0.003576745256532006,0.5568431269473327
0,gumbel,0.3,1000,0.03162277660168379,Ordinary,r,0.03402127189152526,0.09032270249511407,0.04474439388360216,,,,
0,gumbel,0.3,1000,0.03162277660168379,Ordinary,h,1.0341713107055894,0.39996950995991565,0.8768132496971527,,,,
0,gumbel,0.3,1000,0.03162277660168379,Ordinary,c,0.03402127443704927,0.002856254856772715,0.0014149420778270371,,,,
0,gumbel,0.3,1000,0.03162277660168379,Tail,r,0.15533438108415712,0.18156968496694695,2.2904268998178683,,,,
0,gumbel,0.3,1000,0.03162277660168379,Tail,h,17.12758730050833,1.7354629341924084,21.172657095739368,,,,
0,gumbel,0.3,1000,0.03162277660168379,Tail,c,0.15533439270651497,0.005741738014953526,0.0808893543240799,,,,
0,gumbel,0.3,1000,0.03162277660168379,Ordinary,p,,,,0.0057743308939641165,0.0036579925019043485,0.002116338392059768,0.5785518671670332
0,gumbel,0.3,1000,0.03162277660168379,Tail,p,,,,0.003,0.0036579925019043485,0.0006579925019043484,0.1798780346219403
0,gumbel,0.3,5000,0.01414213562373095,Ordinary,r,0.004154897558683153,0.0347288364657475,0.09537558022664253,,,,
0,gumbel,0.3,5000,0.01414213562373095,Ordinary,h,0.9812638649257088,0.5406542008001823,1.1963846336683428,,,,
0,gumbel,0.3,5000,0.01414213562373095,Ordinary,c,0.004154897444090234,0.0004911399018072355,0.0013863108328315654,,,,
0,gumbel,0.3,5000,0.01414213562373095,Tail,r,0.007060486486655205,0.07550086080886273,1.8931248666444889,,,,
0,gumbel,0.3,5000,0.01414213562373095,Tail,h,1.4416476287031523,1.078857664064572,29.92074678275651,,,,
0,gumbel,0.3,5000,0.01414213562373095,Tail,c,0.007060486291925553,0.001067743383818789,0.03131991621776444,,,,
0,gumbel,0.3,5000,0.01414213562373095,Ordinary,p,,,,0.0008285703628049585,0.0009896981305621633,0.00016112776775720477,0.16280496323225527
